id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27885936,BEST AIRBNB PLACE close to SYNTAGMA SQUARE,208193262,Kostas,,ΠΑΓΚΡΑΤΙ,37.96085,23.75872,Entire home/apt,1000,2,0,,,1,180,0,
11601780,Zenios Kisamos-Pretty comfy studio,9530305,Vaitsa,,ΠΑΓΚΡΑΤΙ,37.96187,23.75347,Entire home/apt,38,2,59,2022-09-18,0.78,6,324,24,00001537971
710599496984040214,"Priinis 17 ,Nea Smurni",475759529,Mint,,ΝΕΟΣ ΚΟΣΜΟΣ,37.94464,23.70408,Entire home/apt,57,3,0,,,1,347,0,00000592120
27539038,Modern Athens Flat With a Patio,29623096,Konstantinos,,ΠΑΓΚΡΑΤΙ,37.97262,23.75055,Entire home/apt,65,2,5,2021-08-21,0.11,1,50,0,00000858501
27162126,Home sweet home,200180439,Aspasia,,ΠΑΓΚΡΑΤΙ,37.96167,23.75556,Entire home/apt,50,4,59,2021-10-31,1.18,1,293,2,00000290195
622978373062683118,Lovely 3 bedroom/2 bath apartment in N.Smirni,457234517,Konstantinos,,ΝΕΟΣ ΚΟΣΜΟΣ,37.943474,23.70199,Entire home/apt,70,2,6,2022-08-09,1.54,1,223,6,00000130732
20752582,Historic Greek Houses - Kalpaka flat,72486740,Historic Greek Houses,,ΠΑΓΚΡΑΤΙ,37.97203,23.75094,Entire home/apt,51,28,13,2020-02-16,0.26,1,345,0,00000100640
41787278,Elegant Light 2 Bedroom Condo Prime Central Athens,53136877,Constantine,,ΠΑΓΚΡΑΤΙ,37.97187,23.75057,Entire home/apt,70,3,22,2022-06-10,0.96,7,356,20,00000946217
588181716582827446,Vintage-style Garden Apartment,55241101,Calliope,,ΠΕΝΤΑΓΩΝΟ,38.013603,23.785246,Entire home/apt,50,3,7,2022-07-03,1.20,2,304,7,00001338528
43920826,Posh 1BR Apartment in Chalandri,20104194,Upstreet,,ΠΕΝΤΑΓΩΝΟ,38.01786,23.79546,Entire home/apt,125,10,3,2020-10-28,0.11,90,108,0,00001015422
20098607,Panorama Blue,113660486,Νικόλαος,,ΓΟΥΒΑ,37.94736,23.74675,Private room,22,3,8,2022-08-25,0.16,3,84,2,00001276309
547608406158619720,Alma's apartment,422354220,Jane,,ΓΟΥΒΑ,37.95913,23.74947,Entire home/apt,53,2,25,2022-09-14,4.57,1,352,25,00001460006
23395508,"Cozy, renovated studio at Chalandri",171064973,Αλεξιος,,ΠΕΝΤΑΓΩΝΟ,38.01274,23.79361,Entire home/apt,50,10,1,2018-03-08,0.02,1,177,0,00001379880
17432515,Sunset Cosy Room with shared bathroom and kitchen.,113660486,Νικόλαος,,ΓΟΥΒΑ,37.94798,23.7468,Private room,17,2,68,2022-06-03,1.02,3,157,5,00001507991
28928971,"Sunny home, between sea and centre, next to SNFCC",32499966,Tom,,ΝΕΟΣ ΚΟΣΜΟΣ,37.94684,23.69683,Entire home/apt,29,2,6,2020-08-16,0.13,1,28,0,00000303650
44226402,New Quiet Comfortable near Center Athens Apartment,86185934,Joy,,ΠΑΓΚΡΑΤΙ,37.9623,23.75521,Entire home/apt,43,1,117,2022-09-03,4.60,6,356,33,00000994624
696618123779582712,4 όροφος,468377101,Olibia,,ΠΕΤΡΑΛΩΝΑ,37.9583984,23.7026574,Entire home/apt,40,1,0,,,1,346,0,Exempt
30053522,Luxury flat close to city center,96014881,Chryssanthi,,ΓΟΥΔΙ,37.977684,23.77186,Entire home/apt,80,1,28,2022-07-29,0.65,1,355,10,00000543207
24490813,★2BD Architect's apt ★Central★Parking★ Refreshing,9356598,Anna,,ΙΛΙΣΙΑ,37.97871,23.75841,Entire home/apt,40,2,14,2022-04-30,0.35,1,255,7,00000698294
