,host_id,host_about,host_response_time,host_response_rate,host_is_superhost,host_verifications,calculated_host_listings_count,host_identity_verified,host_has_profile_pic
22,650923,"Our company offers fully furnished apartments for residential use only. 
We own, sublease and manage a variety of apartments, catering to different styles, sizes, interior, for the right kind of budget.  The collection for such apartments is within the Athens City Centre, within walking distance from major city sites and close to public transport when arriving from or heading to the airport or Piraeus port. ",within an hour,100%,t,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",8,t,t
23,797823,,,,f,"['email', 'phone', 'facebook']",1,f,t
24,860485,"I was born in Walnut Creek, Ca USA. I am practicing Meditation and also teach TM. I also am involved in my own business, Janu Gems, wholesaling beads, pearls and loose gemstones. This keeps me busy traveling to places like India, Greece, Cyprus, Hong Kong, Bangkok and USA. 
My wife Reshma is from Allahabad,  India and comes from a family of musicians. She is very talented and is performing concerts on the Sitar in many countries. We have two children who are multicultural and are a joy to watch and be with as they grow and develop in so many ways.
We are vegetarians and do not smoke, drink or gamble. Our interests include Ayur Veda, Vedic Astrology, Sciences and Arts among other things. Music is a part of our everyday life and travels.",within an hour,100%,f,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",2,t,t
25,885156,,,,f,['phone'],1,f,t
27,592616,"HELLO TRAVELLERS!
I AM AN OUTGOING PERSON  THAT HAS DONE A LOT OF TRAVELLING,SO I KNOW HOW IMPOTRANT IT IS WHILE TRAVELLING TO A FOREIGN COUNTRY TO BE ABLE TO STAY AT A PLEASANT ENVIRONMENT AND TO FEEL THAT YOU HAVE SOME FRIENDS AWAY FROM HOME.
I AM HERE TO MAKE YOUR STAY AS ENJOYABLE AS POSSIBLE AND TO MAKE GREAT SUGGESTIONS. I ENJOY TRAVELLING,ENGAGGING IN DIFFERENT CUISINES,DRINKING FINE WINE READIND WATCHING FILMS LISTENING TO MUSIC AND IN GENERAL ENJOYING LIFE! I CANNOT WAIT TO MEET NEW PEOPLE!",,,f,"['email', 'phone', 'facebook', 'reviews']",1,f,t
28,1416651,Hello there. I love to watch football and i like to travel. I traveled all over europe and north and south america to watch football games. I like to stay at apartments like the one i am renting in airbnb. I feel that life is to short not to enjoy it!!!!!!!!!!!,within a few hours,91%,f,"['email', 'phone', 'reviews']",1,f,t
29,1418201,"We at Boutique Athens offer accommodation to travellers who are interested in the cultural and artistic pursuits on offer in our amazing city, Athens.
We own and manage several fully serviced, high quality apartments in the centre of the city.
We are interested in food, art, modern history and what is new and exciting.
We personally meet and greet our guests.
We provide full kitchens for cooking, a wonderful art collection and many books on Modern Greece.",within an hour,100%,t,"['email', 'phone', 'reviews']",40,t,t
32,1574876,"Hello! My name is Agis.

My philosophy is ""Be a traveler, not a tourist!""

I enjoy traveling around the world, stay in 5 stars quality hotels and properties and learn about other cultures. 

You are most welcomed to come and stay in my unique and exclusive Suites in Athens! 

I consider each one of you as my guests and not customers. I will be very happy to give you recommendations during your stay, in order to feel ""local"". And of course to support you when you are exploring Athens. ",within an hour,100%,t,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",3,t,t
33,1585338,"I run a Short term Rentals' agency since 2007 and I've learned a lot all these years, from experiences, as well as mistakes! 

We specialize in all-inclusive rentals of high-quality apartments and houses in Greece, for a stylish, personalized hotel alternative.

I enjoy carefully selecting furnished, equipped apartments & studios, intended for a short city break or for a longer corporate stay in the very heart of Athens.
I also take pride in hand-picking unique traditional Cycladic residences, ideal for experiencing the simplicity of a genuine home in a small island, like Sifnos.

Bottom line: I love my job! I hope you'll love our properties too :-)",within an hour,100%,t,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",15,t,t
34,1824707,"I live in Athens! Spent last years in London, New York and all over Italy. I ve been an artist since the day I remember myself. I work as a theatre director and a performer. I love interior design, european literature and jazz music. I spend my rare day-offs with friends and family. Enjoy meeting new people and cultures. So be my guest!",a few days or more,0%,f,"['phone', 'reviews']",1,f,t
35,1826598,Our company rents apartments on short or long term lease in the centre of Athens. We aim to provide a professional service to our guests and offer a comfortable and  pleasant stay.,within an hour,100%,t,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",5,t,t
36,745805,I have travelled a lot for business and leisure and I can appreciate genuine hospitality.I love people who have the natural curiosity to explore other countries and I would be pleased to offer them an opportunity to relax and enjoy themselves.,within an hour,100%,t,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,t,t
37,2035514,"I am a young architect sharing time between Athens and Xylokastro (a town by the sea at, 120km from Athens). Apart from my job, my interents are dancing tango, travelling, music, photography.
I love Athens and take great pleasure in hosting people at my apartment, giving them tips about where to go, what to see, propose places of interest etc.
",within a few hours,100%,f,"['email', 'phone', 'facebook', 'reviews']",1,f,t
38,944962,"Hello!  My name is Foris.  I'm  from the beautiful island of Cyprus. I am a pro athlete of the Cypriot national team, in distance running. I have also attended the national university of Athens in primary education department. I love running and traveling. My favorite travel destination except Cyprus, is Kenya! I like good food, and anything  traditional to each country. I always take care of my hosts, so don't worry. Just make your reservation and I will take care of the rest!

Nowadays, I am using my airbnb income to fulfill my childhood dream of participating in the olympic games, specifically to fund my preparation for the Tokyo 2020.",within a few hours,100%,f,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",2,t,t
39,2074942,I am passionate with art and I like hosting new people in my fantastic view apartment in Athens. I like travelling in Europe so you might meet me as a guest either as a host :-),within an hour,100%,f,"['email', 'phone', 'facebook', 'reviews']",1,f,t
40,2185512,"Hello!! My name is Jenny and I live in Athens, Greece. I love to meet interesting people and make them feel at home. 
My life motto: Try to be positive, life is too short and precious for negativity! Smile is contagious!!  :-)",within a day,100%,f,"['email', 'phone', 'reviews']",1,f,t
41,2228424,"Having grown up in the heart of Europe, Brussels, made me love the sharing of experiences and customs of different cultures and Airbnb is a great place to do just that!

Whenever I travel, Airbnb is the first place I look since you not only get better deals, but you also get the opportunity to learn about the insights of the city and take advantage of the warm welcome from the local people, which is not always the case through the impersonal character often experienced in hotels.

As a host I want to share with my guests the same experience I would like to have as a traveller. Together with my brother, George, we look forward to making your experience in Athens unforgettable!",within an hour,100%,t,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,t,t
43,2289590,"Twenty two apartments in the center of Athens, designed for the traveler that wants to explore the city and live like the locals. 
“Handmade”, fully equipped, value-for-money, contemporary touch, classic attire, next to everything you will ever need. Every apartment is unique and you can check out the one that meets your needs .
Andreas, Andonis, Vassilis and Varnavas, the creators of Live in Athens,  and the rest of our team, are here to guide you in our city and provide extra comfort and true care during your stay. 
Whether you are looking for a second to none vegetarian restaurant, small galleries, “happening tonight” events, or the best place to see the sunrise in Athens, give us a shout and one of us will be happy to make the suggestions you are looking for!

Come stay with us, come Live in Athens! 
",within an hour,100%,f,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'offline_government_id', 'government_id']",13,t,t
46,2370772,"AthenStyle - rooms and studio flats in the heart of Athens! Located in AthenStyle building, enjoy advantages of a 24-hour reception, breakfast for a small fee and housekeeping services as well as the privacy of your own apartment! ...and easily one of the best views in Athens from the 360 Rooftop Bar. Just beneath the Acropolis, in the historical area of Monastiraki / Psirri, within a walking distance to all the most important archeological sites and monuments, in the middle of Athens' action! ;-)",a few days or more,0%,f,"['email', 'phone', 'reviews']",9,f,t
47,408081,Hello!My name is Dimitrios.I am 32 years.I am industrial designer based in Athens.If you have any questions feel free to ask me!,within a day,67%,f,"['email', 'phone', 'google', 'reviews', 'jumio']",1,t,t
48,2371962,Hello!My name is Rania.I am a friendly and calm person.I love travelling all over the world. ,within an hour,100%,t,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",2,t,t
49,2446066,"Dear Travelers
Welcome to our city, thank you for choosing our apartment for your stay. My wife Ifigenia and I, wish you a beautiful holiday in our city. I am an architect and art photographer. I have studied architecture at the University of Florence in Italy. Ifigenia is a painter of Byzantine icons. We like to meet personally our quests and assist them during the staying.
Have a great vacation
Yiagos Ifigenia",within a few hours,100%,f,"['email', 'phone', 'reviews']",1,f,t
53,2456294,"In summary, our philosophy states itself in a simple way: to provide top accommodation with artistic design apartments including many amenities and privacy right in the heart of Athens.",,,f,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",7,t,t
54,2461282,"Hi! My name is Marilia! I'm from Athens and I'm interested on environmental matters. I also enjoy music, travelling, yoga and dancing. Feel free to contact me for any questions! ",within a day,100%,t,"['email', 'phone', 'reviews']",1,f,t
66,2779638,"I am a Mechanical Engineer with a M.Sc. degree from the Royal Technical University in Stockholm. 
I have been living in Sweden for approx. 15 years but I have been living with my family in Athens,   
the latest 20 years. 

Besides my work, I like being with friends, travelling, meeting new people, visiting new places, listening to music ...   

I cannot live without my 4 children and my wife ...

My moto is :
- Be honest
- Be emotionally generous 
- Be human
- Enjoy life ",within a day,60%,f,"['email', 'phone', 'reviews']",1,f,t
67,2810938,"Who would have thought when I boarded a plane for Greece more than 20 years ago, planning on backpacking through the mountains and then heading north through then Yugoslavia I'd end up making Greece my second home?
But here I am, 20 something years later, running a fabulous Greek vacation rental business with historic homes & penthouses in Athens, planning Greek travel itineraries and leading small group food & wine focused tours around my adopted homeland and loving the life that I am lucky enough to be living. Of course I did pick up an equally crazy, workaholic Greek husband along the way, as well as a stray Greek animal or two!

Update: End of November 2017 .... This year Basil and I celebrate 15 years opening our Greek vacation rentals to guests from around the world. All these years we've been hopping between Basil's home city, Athens and Carole's home city of Chicago.  Time and time again guests in Greece ask us if they can stay in our Chicago home while we're in Athens.... so we're finally doing it - we've just completed the renovation of a fab old factory with 3 vacation rentals called the Magic Factory Lofts. We've got 3 and 4 bedroom homes in the heart of the city with Big Shoulders -  in our hybrid warehouse (which in a previous life housed a bar and a dance hall, followed by a costume and magic card factory and then a photography studio where probably every Butterball turkey advertisement in the 1980s was shot .... the photos, not the turkeys!)

So come stay with us ... and then stay with us again. Whether we share an ouzo in Athens in our Acropolis View Alpha Plus penthouse or Sky Villa or a beer and a hot dog in Chicago, in our Magic Factory Lofts  we know that you won't be disappointed.
",within an hour,100%,t,"['email', 'phone', 'facebook', 'reviews', 'kba', 'work_email']",4,t,t
68,2814842,"I was born in Graz, Austria and I am living in Athens Greece. Speaking English and of course Greek.I like to travel to take pictures from every place I visit and meeting new people and cultures.Just because I have lived in some european countries for some time (Austria and Great Britain) and travel a lot,  I know that the hospitality is the most important thing that travellers enjoy and like during their visit to a new country-culture. I am going to try and make you feel as cozy and as pleasant as I can during your stay at my apartment and my country. I will be happy to meet new people, so, see you in Greece :) ",within an hour,100%,t,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,t,t
70,2602995,"I love the simple things in life and I am not a party animal. I enjoy interesting conversations with friends or guests. I like to occupy myself with many hobbies: computers, internet, photography, nature, music (listening/playing), DIY, traveling, etc. 

I like to make my guests as comfortable as possible, and to provide them with hints and tips to make their stay in Greece more enjoyable. I like some cultural exchange with the guests whenever possible. I have even made some good friends via airbnb.",within an hour,100%,f,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",1,t,t
71,708364,"Hello my airbnb friends! I am a half Greek, half german born and bred in Athens , in my thirties and a down town city girl .I am a speech therapist working with children . I love to dance , to eat , to decorate and organize. I have many tips for the city of Athens , daily secrets that can make your stay a beautiful memory .I have personally decorated my apartments with  great care and my personal taste . I hope to have the chance to accommodate you and that your stay in Athens will be unforgettable .",within an hour,100%,t,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",2,t,t
72,2946672,"My name is Labis, 43, married, electrical engineer and consider myself philoxenos (= disposed to treat guests with warmth and generosity is the remark of the dictionary). Currently I am developing Trading Robots.
",within a day,71%,f,"['email', 'phone', 'reviews', 'jumio', 'government_id']",1,f,t
