,id,neighbourhood_cleansed,reviews_per_month,room_type
9097,51395250,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.0,Entire home/apt
9098,51397067,ΙΛΙΣΙΑ,0.0,Entire home/apt
9099,51416283,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,1.0,Entire home/apt
9100,51416469,ΑΚΡΟΠΟΛΗ,2.14,Entire home/apt
9101,51416509,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,5.56,Private room
9102,51416888,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,2.11,Private room
9103,51417145,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,4.44,Private room
9104,51417442,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.0,Private room
9105,51417916,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.59,Private room
9106,51418098,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,2.73,Private room
9107,51418368,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,2.55,Entire home/apt
9108,51419522,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.45,Entire home/apt
9109,51421032,ΑΚΡΟΠΟΛΗ,5.0,Entire home/apt
9110,51425199,ΣΕΠΟΛΙΑ,4.29,Entire home/apt
9111,51431888,ΓΟΥΒΑ,5.0,Entire home/apt
9112,51435704,ΚΥΨΕΛΗ,4.0,Private room
9113,51435887,ΚΥΨΕΛΗ,1.9,Private room
9114,51437004,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,3.85,Entire home/apt
9115,51437166,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,2.0,Entire home/apt
9116,51438155,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.63,Entire home/apt
9117,51440380,ΣΤΑΔΙΟ,1.67,Entire home/apt
9118,51441093,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,9.0,Entire home/apt
9119,51442722,ΝΕΟΣ ΚΟΣΜΟΣ,0.83,Entire home/apt
9120,51446712,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,4.34,Private room
9121,51447986,ΝΕΟΣ ΚΟΣΜΟΣ,3.7,Entire home/apt
9122,51457411,ΝΕΟΣ ΚΟΣΜΟΣ,2.37,Entire home/apt
9123,51462092,ΚΥΨΕΛΗ,0.0,Entire home/apt
9124,51463615,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Shared room
9125,51463630,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Private room
9126,51467537,ΝΕΟΣ ΚΟΣΜΟΣ,1.41,Entire home/apt
9127,51468396,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9128,51476875,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9129,51478618,ΠΑΓΚΡΑΤΙ,0.0,Entire home/apt
9130,51479267,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,7.69,Entire home/apt
9131,51480397,ΣΕΠΟΛΙΑ,1.67,Entire home/apt
9132,51483461,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Private room
9133,51483816,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Private room
9134,51486904,ΝΕΟΣ ΚΟΣΜΟΣ,1.43,Entire home/apt
9135,51488200,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,0.0,Entire home/apt
9136,51488614,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,1.33,Entire home/apt
9137,51489273,ΚΟΛΩΝΑΚΙ,2.11,Entire home/apt
9138,51495457,ΠΕΔΙΟ ΑΡΕΩΣ,0.0,Private room
9139,51496207,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,5.09,Entire home/apt
9140,51499128,ΓΚΑΖΙ,3.75,Entire home/apt
9141,51500891,ΓΚΑΖΙ,0.0,Entire home/apt
9142,51516808,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2.65,Entire home/apt
9143,51517474,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2.09,Entire home/apt
9144,51535184,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,2.73,Entire home/apt
9145,51545434,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,2.24,Entire home/apt
9146,51547702,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,4.47,Entire home/apt
9147,51548125,ΖΑΠΠΕΙΟ,5.54,Entire home/apt
9148,51550706,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.0,Entire home/apt
9149,51551589,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,9.0,Entire home/apt
9150,51556569,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,10.0,Entire home/apt
9151,51567345,ΝΕΟΣ ΚΟΣΜΟΣ,0.0,Entire home/apt
9152,51569526,ΣΤΑΔΙΟ,6.36,Entire home/apt
9153,51569799,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,1.91,Entire home/apt
9154,51570169,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,1.0,Entire home/apt
9155,51570228,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.0,Entire home/apt
9156,51570309,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,3.0,Entire home/apt
9157,51570828,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9158,51572449,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,3.0,Entire home/apt
9159,51572584,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,3.0,Entire home/apt
9160,51572872,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,3.0,Entire home/apt
9161,51572947,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.0,Entire home/apt
9162,51572983,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,2.05,Entire home/apt
9163,51573089,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,1.4,Entire home/apt
9164,51573207,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.68,Entire home/apt
9165,51573244,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,1.0,Entire home/apt
9166,51573298,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.0,Entire home/apt
9167,51577214,ΑΜΠΕΛΟΚΗΠΟΙ,1.25,Entire home/apt
9168,51587719,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,0.0,Entire home/apt
9169,51588216,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,5.89,Entire home/apt
9170,51588293,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9171,51590656,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9172,51590788,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9173,51591339,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9174,51591447,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9175,51593684,ΠΑΓΚΡΑΤΙ,1.8,Entire home/apt
9176,51596740,ΝΕΟΣ ΚΟΣΜΟΣ,2.86,Entire home/apt
9177,51608751,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,2.42,Entire home/apt
9178,51610130,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.77,Entire home/apt
9179,51610192,ΑΚΡΟΠΟΛΗ,2.25,Entire home/apt
9180,51610208,ΑΚΡΟΠΟΛΗ,0.64,Entire home/apt
9181,51611241,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9182,51612448,ΣΤΑΔΙΟ,1.0,Entire home/apt
9183,51612846,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9184,51615125,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.92,Entire home/apt
9185,51630671,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9186,51631984,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,3.49,Entire home/apt
9187,51633989,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,1.0,Entire home/apt
9188,51636942,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,1.25,Entire home/apt
9189,51640036,ΘΗΣΕΙΟ,1.45,Entire home/apt
9190,51647416,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Shared room
9191,51648340,ΙΛΙΣΙΑ,0.48,Entire home/apt
9192,51649199,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,1.55,Shared room
9193,51654683,ΠΟΛΥΓΩΝΟ,3.75,Entire home/apt
9194,51661338,ΚΟΛΩΝΟΣ,0.0,Private room
9195,51665447,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.0,Entire home/apt
9196,51674331,ΚΥΨΕΛΗ,1.41,Private room
9197,51675214,ΒΟΤΑΝΙΚΟΣ,0.0,Entire home/apt
9198,51676205,ΙΛΙΣΙΑ,0.0,Entire home/apt
9199,51678473,ΣΤΑΔΙΟ,4.29,Entire home/apt
9200,51678895,ΣΤΑΔΙΟ,1.0,Entire home/apt
9201,51679069,ΣΤΑΔΙΟ,1.7,Entire home/apt
9202,51679337,ΣΤΑΔΙΟ,4.29,Entire home/apt
9203,51679668,ΣΤΑΔΙΟ,4.0,Entire home/apt
9204,51684162,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,1.62,Entire home/apt
9205,51696957,ΓΟΥΔΙ,4.71,Entire home/apt
9206,51701245,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,1.18,Entire home/apt
9207,51711533,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,11.0,Entire home/apt
9208,51717508,ΚΥΨΕΛΗ,0.0,Entire home/apt
9209,51722850,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.0,Entire home/apt
9210,51727206,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9211,51729011,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,4.74,Entire home/apt
9212,51729113,ΚΥΨΕΛΗ,3.56,Entire home/apt
9213,51737065,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,1.91,Entire home/apt
9214,51737132,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,0.0,Entire home/apt
9215,51739669,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,9.0,Entire home/apt
9216,51739938,ΝΕΟΣ ΚΟΣΜΟΣ,5.59,Entire home/apt
9217,51740206,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,1.0,Entire home/apt
9218,51740495,ΖΑΠΠΕΙΟ,0.0,Entire home/apt
9219,51740727,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.58,Entire home/apt
9220,51741025,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Entire home/apt
9221,51742683,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0,Private room
9222,51746587,ΠΑΓΚΡΑΤΙ,3.33,Entire home/apt
9223,51756904,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,1.0,Private room
9224,51757445,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,3.0,Entire home/apt
